rowid,fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,payee_name_clean,payee_zip5,payee_name_refined,slug
387,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"DADE PAPER AND BAG COMPANY, INC.",20794,239278.61,NA,NA,DADE PAPER AND BAG COMPANY INC,20794,DADE PAPER AND BAG COMPANY INC,anne-arundel-county
388,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LIGHTSPEED TECHNOLOGIES,97062,238074.5,NA,NA,LIGHTSPEED TECHNOLOGIES,97062,LIGHTSPEED TECHNOLOGIES,anne-arundel-county
389,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AEROSOL MONITORING & ANALYSIS,21076,233361.5,NA,NA,AEROSOL MONITORING & ANALYSIS,21076,AEROSOL MONITORING & ANALYSIS,anne-arundel-county
390,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Thrive Behavioral Health LLC,21237,225969.11,NA,NA,THRIVE BEHAVIORAL HEALTH LLC,21237,THRIVE BEHAVIORAL HEALTH LLC,anne-arundel-county
391,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CITY OF ANNAPOLIS,21401,225711.41,NA,NA,CITY OF ANNAPOLIS,21401,CITY OF ANNAPOLIS,anne-arundel-county
392,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TYCO Fire & Security (US) Management Inc,15252,224188.24,NA,NA,TYCO FIRE & SECURITY (US) MANAGEMENT INC,15252,TYCO FIRE & SECURITY US MANAGEMENT INC,anne-arundel-county
393,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Treasure Coast Maintenance Suppliers,34957,223842.31,NA,NA,TREASURE COAST MAINTENANCE SUPPLIERS,34957,TREASURE COAST MAINTENANCE SUPPLIERS,anne-arundel-county
394,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Digital Information Services,20854,223531.21,NA,NA,DIGITAL INFORMATION SERVICES,20854,DIGITAL INFORMATION SERVICES,anne-arundel-county
395,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RAPTOR TECHNOLOGIES,77270,217317.25,NA,NA,RAPTOR TECHNOLOGIES,77270,RAPTOR TECHNOLOGIES,anne-arundel-county
396,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CENTRAL TRUCK CENTER,20785,216480,NA,NA,CENTRAL TRUCK CENTER,20785,CENTRAL TRUCK CENTER,anne-arundel-county
397,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VISUAL SOUND,21227,215834,NA,NA,VISUAL SOUND,21227,VISUAL SOUND,anne-arundel-county
398,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HERSHEY'S ICE CREAM,21075,213838.2,NA,NA,HERSHEY'S ICE CREAM,21075,HERSHEY'S ICE CREAM,anne-arundel-county
399,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AVID CENTER,92123,213743.5,NA,NA,AVID CENTER,92123,AVID CENTER,anne-arundel-county
400,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,UNUM LIFE INS CO OF AMERICA,04122,213622.64,NA,NA,UNUM LIFE INS CO OF AMERICA,04122,UNUM LIFE INS CO OF AMERICA,anne-arundel-county
401,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,U.S. DEPT. OF EDUCATION,30348-5081,213346.05,NA,NA,US. DEPT. OF EDUCATION,30348,US DEPT OF EDUCATION,anne-arundel-county
402,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AMER FED OF ST CO MUNICIP EMPL,21230,208805.55,NA,NA,AMER FED OF ST CO MUNICIP EMPL,21230,AMER FED OF ST CO MUNICIP EMPL,anne-arundel-county
403,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MOUNTAIN MANOR TREATMENT CTR.,21229,207821.7,NA,NA,MOUNTAIN MANOR TREATMENT CTR,21229,MOUNTAIN MANOR TREATMENT CTR,anne-arundel-county
404,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,FROEHLING & ROBERTSON INC,20794,206983.09,NA,NA,FROEHLING & ROBERTSON INC,20794,FROEHLING & ROBERTSON INC,anne-arundel-county
405,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ACT Inc DBA ACT Education Inc,52243-0168,205827.5,NA,NA,ACT INCDBA ACT EDUCATION INC,52243,ACT INC,anne-arundel-county
406,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SCHOLARSHIPS FOR SCHOLARS,21401,204952.58,NA,NA,SCHOLARSHIPS FOR SCHOLARS,21401,SCHOLARSHIPS FOR SCHOLARS,anne-arundel-county
407,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"PRISMA, LLC",20910,204850.4,NA,NA,PRISMA LLC,20910,PRISMA LLC,anne-arundel-county
408,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,YOUTH IN TRANSITION SCHOOL,21244,204645.5,NA,NA,YOUTH IN TRANSITION SCHOOL,21244,YOUTH IN TRANSITION SCHOOL,anne-arundel-county
409,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"East Coast Welding and Construction Co., Inc.",21061-3225,201955,NA,NA,EAST COAST WELDING AND CONSTRUCTION CO INC,21061,EAST COAST WELDING & CONSTRUCTION CO INC,anne-arundel-county
410,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RE Sheehi Trucking & Paving LLC,20639,201085.77,NA,NA,RE SHEEHI TRUCKING & PAVING LLC,20639,RE SHEEHI TRUCKING & PAVING LLC,anne-arundel-county
411,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Bayside Fire Protection,20736,200935.46,NA,NA,BAYSIDE FIRE PROTECTION,20736,BAYSIDE FIRE PROTECTION,anne-arundel-county
412,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Allied Instructional Services,23005,200884.82,NA,NA,ALLIED INSTRUCTIONAL SERVICES,23005,ALLIED INSTRUCTIONAL SERVICES,anne-arundel-county
413,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CATAPULT LEARNING DBA Specialized Ed of Md. Inc,08103,199590.91,NA,NA,CATAPULT LEARNING DBA SPECIALIZED ED OF MD INC,08103,CATAPULT LEARNING DBA SPECIALIZED ED OF MD INC,anne-arundel-county
414,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,J.T.M. PROVISIONS CO.,45030,197853.38,NA,NA,JT.M. PROVISIONS CO.,45030,JTM PROVISIONS CO,anne-arundel-county
415,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"ClassLink, Inc.",07011,192995,NA,NA,CLASSLINK INC,07011,CLASSLINK INC,anne-arundel-county
416,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,INTERLINE BRANDS INC,32207,192849.76,NA,NA,INTERLINE BRANDS INC,32207,INTERLINE BRANDS,anne-arundel-county
417,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ASSO OF EDUC LEADERS INC,21012,190718.91,NA,NA,ASSO OF EDUC LEADERS INC,21012,ASSO OF EDUC LEADERS INC,anne-arundel-county
418,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CN ROBINSON LIGHTING SUPPLY,21227,188237.79,NA,NA,CN ROBINSON LIGHTING SUPPLY,21227,CN ROBINSON LIGHTING SUPPLY CO,anne-arundel-county
419,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LANGE ELECTRIC CO INC,21230-2730,186508.83,NA,NA,LANGE ELECTRIC CO INC,21230,LANGE ELECTRIC CO,anne-arundel-county
420,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Glass Industries, LLC",21208,183862.36,NA,NA,GLASS INDUSTRIES LLC,21208,GLASS INDUSTRIES LLC,anne-arundel-county
421,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MARTEL LABS INC,21286,182958.7,NA,NA,MARTEL LABS INC,21286,MARTEL LABS INC,anne-arundel-county
422,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MASTER CARE FLOORING INC,21229,180344.26,NA,NA,MASTER CARE FLOORING INC,21229,MASTER CARE FLOORING INC,anne-arundel-county
423,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BLACKBOARD CONNECT INC DBA Blackboard Inc,91403,176307.45,NA,NA,BLACKBOARD CONNECT INCDBA BLACKBOARD INC,91403,BLACKBOARD CONNECT INC,anne-arundel-county
424,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GANNETT FLEMING INC,21244,176205.6,NA,NA,GANNETT FLEMING INC,21244,GANNETT FLEMING,anne-arundel-county
425,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,JOHNSON MIRMIRAN & THOMPSON,21030,173589.62,NA,NA,JOHNSON MIRMIRAN & THOMPSON,21030,JOHNSON MIRMIRAN & THOMPSON,anne-arundel-county
426,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TOTAL KITCHEN CARE,21108,173143.3,NA,NA,TOTAL KITCHEN CARE,21108,TOTAL KITCHEN CARE,anne-arundel-county
427,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ATC Corp.,21222,172092,NA,NA,ATC CORP,21222,ATC CORP,anne-arundel-county
428,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,THE MARYLAND SCHOOL FOR THE BLIND,21236,170233.21,NA,NA,THE MARYLAND SCHOOL FOR THE BLIND,21236,MARYLAND SCHOOL FOR THE BLIND,anne-arundel-county
429,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"MYTHICS, INC",23462,169702.31,NA,NA,MYTHICS INC,23462,MYTHICS INC,anne-arundel-county
430,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LIBRARY CORPORATION (THE),25428-9733,169174,NA,NA,LIBRARY CORPORATION (THE),25428,THE LIBRARY CORPORATION,anne-arundel-county
431,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WARWICK SUPPLY & EQUIP CO INC,21031,168133.49,NA,NA,WARWICK SUPPLY & EQUIP CO INC,21031,WARWICK SUPPLY & EQUIP CO INC,anne-arundel-county
432,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BIGNELL WATKINS HASSER,21401,167277.17,NA,NA,BIGNELL WATKINS HASSER,21401,BIGNELL WATKINS HASSER ARCHITECTS PC,anne-arundel-county
433,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HomeRite of Baltimore LLC,21244,166725,NA,NA,HOMERITE OF BALTIMORE LLC,21244,HOMERITE OF BALTIMORE LLC,anne-arundel-county
434,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MAGOTHY TECHNOLOGY LLC,21060,165386.65,NA,NA,MAGOTHY TECHNOLOGY LLC,21060,MAGOTHY TECHNOLOGY LLC,anne-arundel-county
435,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Human Development Corp DBA SUMMIT SCHOOL,21037,163396.1,NA,NA,HUMAN DEVELOPMENT CORP DBA SUMMIT SCHOOL,21037,HUMAN DEVELOPMENT CORP DBA SUMMIT SCHOOL,anne-arundel-county
436,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DANCE BROTHERS INC,21090,161797.16,NA,NA,DANCE BROTHERS INC,21090,DANCE BROTHERS INC,anne-arundel-county
437,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RUDOLPH'S OFFICE & COMPUTER SUPPLY INC,21075,161468.71,NA,NA,RUDOLPH'S OFFICE & COMPUTER SUPPLY INC,21075,RUDOLPH'S OFFICE & COMPUTER SUPPLY INC,anne-arundel-county
438,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BELTWAY INTER TRUCKS INC DBA CAPITAL CITIES,21227,160122,NA,NA,BELTWAY INTER TRUCKS INCDBA CAPITAL CITIES,21227,BELTWAY INTER TRUCKS INCDBA CAPITAL CITIES,anne-arundel-county
439,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MICROSOFT CORPORATION,75039,159800.64,NA,NA,MICROSOFT CORPORATION,75039,MICROSOFT CORPORATION,anne-arundel-county
440,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PHANTOM TECHNOLOGIES INC,02110,157185.01,NA,NA,PHANTOM TECHNOLOGIES INC,02110,PHANTOM TECHNOLOGIES INC,anne-arundel-county
441,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Morelli-Hoskins Ford Inc,19320,156160,NA,NA,MORELLI-HOSKINS FORD INC,19320,MORELLI-HOSKINS FORD INC,anne-arundel-county
442,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RJ MCCARVILLE ASSOC,19464,154841,NA,NA,RJ MCCARVILLE ASSOC,19464,RJ MCCARVILLE ASSOCIATES LTD,anne-arundel-county
443,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,American Air Filter Company Inc,21224,154440.07,NA,NA,AMERICAN AIR FILTER COMPANY INC,21224,AMERICAN AIR FILTER COMPANY INC,anne-arundel-county
444,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,STROHECKER INC,20736,153661.14,NA,NA,STROHECKER INC,20736,STROHECKER INC,anne-arundel-county
445,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Johnson Truck Center,20785,153407,NA,NA,JOHNSON TRUCK CENTER,20785,JOHNSON TRUCK CENTER,anne-arundel-county
446,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GB Marketing Inc DBA FRANKLIN TOYS,21146,153337.97,NA,NA,GB MARKETING INCDBA FRANKLIN TOYS,21146,GB MARKETING INCDBA FRANKLIN TOYS,anne-arundel-county
447,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SCANTRON CORP,92705,152321.81,NA,NA,SCANTRON CORP,92705,SCANTRON CORP,anne-arundel-county
448,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,JOHNSON CONTROLS INC,21152,147236.23,NA,NA,JOHNSON CONTROLS INC,21152,JOHNSON CONTROLS,anne-arundel-county
449,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,A-L ABATEMENT INC,21236,146045,NA,NA,A-L ABATEMENT INC,21236,A-L ABATEMENT INC,anne-arundel-county
450,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Greenlink Incorporated,20872,144960,NA,NA,GREENLINK INCRPORATED,20872,GREENLINK INCRPORATED,anne-arundel-county
451,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ROSETTA STONE LTD,22801,144000,NA,NA,ROSETTA STONE LTD,22801,ROSETTA STONE LTD,anne-arundel-county
452,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TIDAL TECHNOLOGIES CORPORATION,21061,142224.72,NA,NA,TIDAL TECHNOLOGIES CORPORATION,21061,TIDAL TECHNOLOGIES,anne-arundel-county
453,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Total Green Janitorial Supplies,34985-9463,141848.01,NA,NA,TOTAL GREEN JANITORIAL SUPPLIES,34985,TOTAL GREEN JANITORIAL SUPPLIES,anne-arundel-county
454,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WASHINGTON MUSIC CTR,20902,139853.7,NA,NA,WASHINGTON MUSIC CTR,20902,WASHINGTON MUSIC CENTER,anne-arundel-county
455,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BLACKBOARD INC,46240,139526.29,NA,NA,BLACKBOARD INC,46240,BLACKBOARD INC,anne-arundel-county
456,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GRAYBAR ELECTRIC CO INC,30384,139144.72,NA,NA,GRAYBAR ELECTRIC CO INC,30384,GRAYBAR ELECTRIC,anne-arundel-county
457,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Aireco Supply Inc  DBA M&M CONTROLS INC,21093,138924.71,NA,NA,AIRECO SUPPLY INCDBA M&M CONTROLS INC,21093,AIRECO SUPPLY INC,anne-arundel-county
458,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WOLVERINE BRASS INC,28289-0713,137692.78,NA,NA,WOLVERINE BRASS INC,28289,WOLVERINE BRASS INC,anne-arundel-county
459,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"EXPLORELEARNING, INC.",22902,137500,NA,NA,EXPLORELEARNING INC,22902,EXPLORE LEARNING,anne-arundel-county
460,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TOWSON UNIVERSITY,21252,136766,NA,NA,TOWSON UNIVERSITY,21252,TOWSON UNIVERSITY,anne-arundel-county
461,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SUNTEX INTERNATIONAL INC,18045,136335.99,NA,NA,SUNTEX INTERNATIONAL INC,18045,SUNTEX INTERNATIONAL INC,anne-arundel-county
462,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DREAMBOX LEARNING,98004,135517.5,NA,NA,DREAMBOX LEARNING,98004,DREAMBOX LEARNING,anne-arundel-county
463,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HONEYWELL INC,20171,134223.42,NA,NA,HONEYWELL INC,20171,HONEYWELL INC,anne-arundel-county
464,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RIDDELL/ALL AMERICAN,44045,133643.75,NA,NA,RIDDELL/ALL AMERICAN,44045,RIDDELL - ALL AMERICAN,anne-arundel-county
465,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Center for Lifelong Learning,07869,133500,NA,NA,CENTER FOR LIFELONG LEARNING,07869,CENTER FOR LIFELONG LEARNING,anne-arundel-county
466,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Canon Financial Services Inc,08054,133296.36,NA,NA,CANON FINANCIAL SERVICES INC,08054,CANON FINANCIAL SERVICES INC,anne-arundel-county
467,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SGK CONTRACTING INC,20715,132305.13,NA,NA,SGK CONTRACTING INC,20715,SGK CONTRACTING INC,anne-arundel-county
468,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,H & H CONTRACTORS INC,21227,131710.14,NA,NA,H & H CONTRACTORS INC,21227,H&H CONTRACTORS INC,anne-arundel-county
469,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ASSOCIATED CATHOLIC CHARITIES,21093,131691.21,NA,NA,ASSOCIATED CATHOLIC CHARITIES,21093,ASSOCIATED CATHOLIC CHARITIES INC,anne-arundel-county
470,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"2080 Media, Inc DBA Playon! Sports",30341,129850,NA,NA,2080 MEDIA INCDBA PLAYON! SPORTS,30341,2080 MEDIA INCDBA PLAYON! SPORTS,anne-arundel-county
471,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Guitar Center, Inc DBA MUSIC & ARTS CENTER",21703-8517,129472.63,NA,NA,GUITAR CENTER INCDBA MUSIC & ARTS CENTER,21703,GUITAR CENTER INCDBA MUSIC & ARTS CENTER,anne-arundel-county
472,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NORTHBAY,21901,127815,NA,NA,NORTHBAY,21901,NORTHBAY,anne-arundel-county
473,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CATON COMMUNICATIONS GROUP INC,21229-5409,125000,NA,NA,CATON COMMUNICATIONS GROUP INC,21229,CATON COMMUNICATIONS GROUP INC,anne-arundel-county
474,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,U S TREASURY,21201,124852.51,NA,NA,U S TREASURY,21201,U S TREASURY,anne-arundel-county
475,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MANSEF,21285,124846.75,NA,NA,MANSEF,21285,MANSEF,anne-arundel-county
476,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NLP ENTERPRISES INC,21117,123557,NA,NA,NLP ENTERPRISES INC,21117,NLP ENTERPRISES INC,anne-arundel-county
477,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Lakeshore Equipment Company,90895,123482.23,NA,NA,LAKESHORE EQUIPMENT COMPANY,90895,LAKESHORE EQUIPMENT CO,anne-arundel-county
478,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Communications Express LLC,22151,123160,NA,NA,COMMUNICATIONS EXPRESS LLC,22151,COMMUNICATIONS EXPRESS LLC,anne-arundel-county
479,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MILLER FLOORING COMPANY INC,19382,122841.35,NA,NA,MILLER FLOORING COMPANY INC,19382,MILLER FLOORING COMPANY,anne-arundel-county
480,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MCDANIEL COLLEGE,21157,121500,NA,NA,MCDANIEL COLLEGE,21157,MCDANIEL COLLEGE,anne-arundel-county
481,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HB Software Solutions,01851,117418.01,NA,NA,HB SOFTWARE SOLUTIONS,01851,HB SOFTWARE SOLUTIONS,anne-arundel-county
482,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NOTRE DAME UNIVERSITY OF MARYLAND,21210,116000,NA,NA,NOTRE DAME UNIVERSITY OF MARYLAND,21210,NOTRE DAME UNIVERSITY OF MARYLAND,anne-arundel-county
483,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,UNITED CONCORDIA COMPANIES,19175-4840,114731.75,NA,NA,UNITED CONCORDIA COMPANIES,19175,UNITED CONCORDIA COMPANIES,anne-arundel-county
484,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,COUGHLAN COMPANIES LLC DBA Capstone,56003,113299.64,NA,NA,COUGHLAN COMPANIES LLC DBA CAPSTONE,56003,COUGHLAN COMPANIES LLC DBA CAPSTONE,anne-arundel-county
485,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HP ELECTRONICS INC,21227-2934,112151.43,NA,NA,HP ELECTRONICS INC,21227,HP ELECTRONICS INC,anne-arundel-county
486,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VISUAL SOUND,21227-2539,110759.4,NA,NA,VISUAL SOUND,21227,VISUAL SOUND,anne-arundel-county
487,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CREST GOOD MANUFACTURING,11791,109096,NA,NA,CREST GOOD MANUFACTURING,11791,CREST GOOD MANUFACTURING,anne-arundel-county
488,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BIOTECH SOLUTIONS,19317-0211,108122.66,NA,NA,BIOTECH SOLUTIONS,19317,BIOTECH SOLUTIONS,anne-arundel-county
489,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Community Products Inc DBA Rifton Equip,12471,106942.5,NA,NA,COMMUNITY PRODUCTS INCDBA RIFTON EQUIP,12471,COMMUNITY PRODUCTS INCDBA RIFTON EQUIP,anne-arundel-county
490,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CLIFTONLARSONALLEN LLP,21093,106000,NA,NA,CLIFTONLARSONALLEN LLP,21093,CLIFTONLARSONALLEN LLP,anne-arundel-county
491,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AACPS Solar Fund LLC,20850,104778.71,NA,NA,AACPS SOLAR FUND LLC,20850,AACPS SOLAR FUND LLC,anne-arundel-county
492,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PROQUEST INFORMATION & LEARNING,48106,104511.48,NA,NA,PROQUEST INFORMATION & LEARNING,48106,PROQUEST INFORMATION & LEARNING,anne-arundel-county
493,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,KCI TECHNOLOGIES INC,21152,104310,NA,NA,KCI TECHNOLOGIES INC,21152,KCI TECHNOLOGIES INC,anne-arundel-county
494,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MARYLAND CENTERS FOR PSYCHIATRY PA,21043,102930,NA,NA,MARYLAND CENTERS FOR PSYCHIATRY PA,21043,MARYLAND CENTERS FOR PSYCHIATRY PA,anne-arundel-county
495,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CONTROLLER-ANNE ARUNDEL COUNTY,21401,102755.62,NA,NA,CONTROLLER-ANNE ARUNDEL COUNTY,21401,CONTROLLER-ANNE ARUNDEL COUNTY,anne-arundel-county
496,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NAVIANCE DBA HOBSONS,45241,101547.5,NA,NA,NAVIANCE DBA HOBSONS,45241,NAVIANCE DBA HOBSONS,anne-arundel-county
497,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CSAAC/ COMMUNITY SCHOOL OF MD.,20851,101452.02,NA,NA,CSAAC/ COMMUNITY SCHOOL OF MD,20851,CSAAC/ COMMUNITY SCHOOL OF MD,anne-arundel-county
498,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"TeacherMatch, LLC",78746,101250,NA,NA,TEACHERMATCH LLC,78746,TEACHERMATCH LLC,anne-arundel-county
499,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"JB Contracting, Inc.",20705,101205.25,NA,NA,JB CONTRACTING INC,20705,JB CONTRACTING INC,anne-arundel-county
500,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GRIEVES WORRALL WRIGHT &,21211,100677.86,NA,NA,GRIEVES WORRALL WRIGHT &,21211,GRIEVES WORRALL WRIGHT & O'HATNICK,anne-arundel-county
501,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NASCO INC,53538-0901,100250.64,NA,NA,NASCO INC,53538,NASCO INC,anne-arundel-county
502,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HAVTECH CORPORATION,21046,99993.61,NA,NA,HAVTECH CORPORATION,21046,HAVTECH CORPORATION,anne-arundel-county
503,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,FERGUSON ENTERPRISES LLC,21205,99719.47,NA,NA,FERGUSON ENTERPRISES LLC,21205,FERGUSON ENTERPRISES,anne-arundel-county
504,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,J P Construction,22191,98316.2,NA,NA,J P CONSTRUCTION,22191,J P CONSTRUCTION,anne-arundel-county
505,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HAJOCA CORP,21227,98211.12,NA,NA,HAJOCA CORP,21227,HAJOCA CORP,anne-arundel-county
506,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Hoonuit I llc,54911,97682.32,NA,NA,HOONUIT I LLC,54911,HOONUIT I LLC,anne-arundel-county
507,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,AIRECO SUPPLY INC,20763-0414,95268.33,NA,NA,AIRECO SUPPLY INC,20763,AIRECO SUPPLY INC,anne-arundel-county
508,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,EBL ENGINEERS LLC,21234-5701,95192.2,NA,NA,EBL ENGINEERS LLC,21234,EBL ENGINEERS LLC,anne-arundel-county
509,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SHEPHERD ELECTRIC CO,20705-1405,94708.03,NA,NA,SHEPHERD ELECTRIC CO,20705,SHEPHERD ELECTRIC COMPANY INC,anne-arundel-county
510,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CHAMPION OFFICIALS GROUP,21404-2289,93790,NA,NA,CHAMPION OFFICIALS GROUP,21404,CHAMPION OFFICIALS GROUP,anne-arundel-county
511,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ARGOS CONSTRUCTION COMPANY INC,21224,90581.08,NA,NA,ARGOS CONSTRUCTION COMPANY INC,21224,ARGOS CONSTRUCTION INC,anne-arundel-county
512,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TECH4LEARNING INC,92120,90000,NA,NA,TECH4LEARNING INC,92120,TECH4LEARNING INC,anne-arundel-county
